Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Payment_Type,Total_Sales,Service_Charge_Rate,Calculated_Service_Charge_Amount,Service_Feedback,Food_Feedback,TABLE,Area,Items,modify_comment
Detail,2023-11-30 23:25:22+00:00,10301,SK,,Cash,1705.0,5.0,85.25,,,5,Dine in,"Butter Kulcha,Diwani Handi,Methi Roti,TOMATO SOUP",
Detail,2023-07-02 23:19:04+00:00,1078,TD,,Cash,1955.0,5.0,97.75,,,22,Dine in,"Manchow Soup (VEG),Mushroom Galauti,PANEER TIKKA",
Detail,2023-09-22 15:00:29+00:00,5914,TD,,Cash,1170.0,5.0,58.5,,,22,Dine in,"Basmati Rice,VEG MANCHURIAN DRY",
Detail,2023-09-17 14:37:32+00:00,5705,Multiple,,Cash,3130.0,5.0,156.5,,,12,Dine in,"Clams In Sukha Mangalorian Masala,GARLIC ROTI,Juices Fresh,Neer Dosa(4pc),PEPSI,Prawns (100 GMS)",
Detail,2023-07-08 21:00:53+00:00,1326,Multiple,,Cash,1160.0,5.0,58.0,,,7,Dine in,"Burnt Garlic Soup (VEG),Paneer Ke Shikanje",
Detail,2023-10-05 14:54:00+00:00,6653,SM,,Cash,795.0,5.0,39.75,,,3,Dine in,THAI CURRY GREEN (VEG),
Detail,2023-09-17 15:55:59+00:00,5718,MK,,Cash,2530.0,5.0,126.5,,,12,Dine in,"CREAM CARAMEL,MALWANI BOMBIL FRY,Murg Makhanwala,Neer Dosa(4pc)",
Detail,2023-07-09 15:18:20+00:00,1394,Multiple,,Cash,2290.0,5.0,114.5,,,9,Dine in,"Chicken Kebabs (Chicken Angare),HAKKA NOODLES (VEG),Manchow Soup (CHICKEN),Manchow Soup (VEG)",
Detail,2023-08-20 20:11:21+00:00,4029,TD,,Cash,1835.0,5.0,91.75,,,2,Dine in,"Amritsari Dal,Butter Paratha,Cheese & Garlic Naan,ROASTED MASALA PAPAD,Subzi Kofta Masala",
Detail,2023-09-01 14:12:30+00:00,4726,MK,,Cash,795.0,5.0,39.75,,,5,Dine in,Dum Pukht Biryani (VEG),
Detail,2023-09-30 14:19:00+00:00,6315,SM,,Cash,2345.0,5.0,117.25,,,21,Dine in,"ANGOORI RABDI,Crispy Spinach Paneer,DIET COKE,FUTCHI RICE (VEG)",
