Category_Name,Item_Name,Item_Online_display_name,Price,Commission_Type__P_Percentage__F_Fixed__N_None_,Commission_Value
BAR CLASSIC COCKTAILS,Old Fashioned (MONKEY SHOULDER),,1050,P,5
BAR CLASSIC COCKTAILS,White Lady (GORDON'S),,725,P,5
BAR CLASSIC COCKTAILS,White Lady (BOMBAY SAPPHIRE),,725,P,5
BAR CLASSIC COCKTAILS,White Lady (MONKEY 47),,1050,P,5
BAR CLASSIC COCKTAILS,White Lady (HENDRICKS),,1050,P,5
BAR CLASSIC COCKTAILS,White Lady (TANQUERAY),,750,P,5
BAR CLASSIC COCKTAILS,Negroni (BOMBAY SAPPHIRE),,725,P,5
BAR CLASSIC COCKTAILS,Negroni (GORDON'S),,725,P,5
BAR CLASSIC COCKTAILS,Negroni (HENDRICKS),,1050,P,5
BAR CLASSIC COCKTAILS,Negroni (MONKEY 47),,1050,P,5
BAR CLASSIC COCKTAILS,Negroni (THE BOTANIST),,1400,P,5
BAR CLASSIC COCKTAILS,Negroni (TANQUERAY),,750,P,5
BAR CLASSIC COCKTAILS,Sex On The Beach (ABSOLUT),,725,P,5
BAR CLASSIC COCKTAILS,Sex On The Beach (GREY GOOSE),,990,P,5
BAR CLASSIC COCKTAILS,Sex On The Beach (BELVEDERE),,990,P,5
BAR CLASSIC COCKTAILS,Sex On The Beach (CIROC),,990,P,5
BAR CLASSIC COCKTAILS,Sex On The Beach (KETEL ONE),,750,P,5
BAR CLASSIC COCKTAILS,Sunrise Tequila (SIEMPRE SILVER),,1150,P,5
BAR CLASSIC COCKTAILS,Blue Lagoon (ABSOLUT),,725,P,5
BAR CLASSIC COCKTAILS,Blue Lagoon (BELVEDERE),,990,P,5
BAR CLASSIC COCKTAILS,Blue Lagoon (GREY GOOSE),,990,P,5
BAR CLASSIC COCKTAILS,Blue Lagoon (CIROC),,990,P,5
BAR CLASSIC COCKTAILS,Blue Lagoon (KETEL ONE),,750,P,5
BAR CLASSIC COCKTAILS,Caprioska (ABSOLUT),,600,P,5
BAR CLASSIC COCKTAILS,Caprioska (CIROC),,990,P,5
BAR CLASSIC COCKTAILS,Caprioska (GREY GOOSE),,990,P,5
BAR CLASSIC COCKTAILS,Caprioska (BELVEDERE),,990,P,5
BAR CLASSIC COCKTAILS,Caprioska (KETEL ONE),,750,P,5
BAR CLASSIC COCKTAILS,Sangria (INDIAN),Sangria,525,P,5
BAR CLASSIC COCKTAILS,Sangria (IMPORTED),Sangria,1000,P,5
BAR CLASSIC COCKTAILS,Heaven Melon (ABSOLUT),Heaven Melon,725,P,5
BAR CLASSIC COCKTAILS,Heaven Melon (BELVEDERE),Heaven Melon,990,P,5
BAR CLASSIC COCKTAILS,Heaven Melon (CIROC),Heaven Melon,990,P,5
