Type,Missing_Item
Food Item,Tom Kha Soup (SEA FOOD)
Food Item,Wonton & Noodle Soup (SEA FOOD)
Food Item,Mustard Soup (SEA FOOD)
Food Item,Sweet Corn Soup (veg)
Food Item,Lacchedar Paratha/naan
Food Item,Missi / Khasta Roti
Food Item,JACK DANIELS - HONEY
Food Item,JACK DANIEL'S
Food Item,JIM BEAM
Food Item,BLUE BERRY CHEESE CAKE
Food Item,CAKE HALF KG
Food Item,APPLE PIE WITH HOT CUSTARD
Food Item,CREAM CARAMEL
Food Item,BROWNIE SUNDAE
Food Item,CHOCOLATE MOUSSE
Food Item,ASSORTED COOKIES
Food Item,TIRAMISU
Food Item,CARAMEL Custard(egg Less)
Food Item,BAVARIAN CHOCOLATE CHEESE CAKE (egg Less)
Food Item,Creme Bruleé
Food Item,CHOCOLATE PASTRY
Food Item,CHOCOLATE FONDUE CAKE
Food Item,Mango Pull Me Up
Food Item,HOT FUDGE NUT SUNDAE
Food Item,HOT PUDDING WITH BUTTER SCOTCH SAUCE
Food Item,Coconut Mango Panacotta
Food Item,Mango Cheesecake
Food Item,AMRUT - AMALGAM
Food Item,GLENMORANGIE - 10 YEARS
Food Item,GLENLIVET - 12 YEARS
Food Item,GLENFIDDICH - 12 YEARS
Food Item,TALISKER -10 YEARS
Food Item,GLENLIVET -15 YEARS
Food Item,GLENFIDDICH -15 YEARS
Food Item,HIBIKI 12 YEARS
Food Item,Dalmore 12 Years
Food Item,The Glenlivet 18 Years
Food Item,SINGLETON
Food Item,Paul John Bold
Food Item,LAPHROAIG 10 YEARS
Food Item,Indri Single Malt
Food Item,SUNTORY TOKI
Food Item,Dalmore 15 Years
Food Item,CAOL ILA - 12 YEARS
Food Item,Jura 12 Years
Food Item,YAMAZAKI
Food Item,GLENFIDDICH - 18 YEARS
Food Item,LAGAVULIN -16 YEARS
Food Item,Macallan 15 Yrs
Food Item,ABSOLUT
Food Item,SMIRNOFF FLAVOUR
Food Item,SMIRNOFF
Food Item,Beluga
Food Item,HENDRICKS
Food Item,MONKEY 47
Food Item,CIROC
Food Item,GREY GOOSE
Food Item,TANQUERAY
Food Item,KETEL ONE
Food Item,THE BOTANIST
Food Item,Norm Inida
Food Item,BOMBAY SAPPHIRE
Food Item,GORDON'S
Food Item,BLUE RIBAND
Food Item,BELVEDERE
Food Item,BUDWEISER
Food Item,KINGFISHER ULTRA
Food Item,HEINEKEN
Food Item,Budweiser Magnum
Food Item,BACARDI BREEZER
Food Item,KINGFISHER
Food Item,HOEGAARDEN
Food Item,BIRA 91
Food Item,CARLSBERG
Food Item,CORONA
Food Item,KINGFISHER STRONG
Food Item,Heineken Silver
Food Item,Basmati Rice
Food Item,Bhatkal Biryani (VEG)
Food Item,Dum Pukht Biryani (MUTTON)
Food Item,Kolkata Biryani (CHICKEN)
Food Item,Dum Pukht Biryani (CHICKEN)
Food Item,Dum Pukht Biryani (VEG)
Food Item,Brown Rice
Food Item,Dum Pukht Biryani (Veg)
Food Item,Lamb Dum Pukht Biryani
Food Item,Lamb Hyderabadi Biryani
Food Item,Lamb Kolkata Biryani
Food Item,Lamb Bhatkal Biryani
Food Item,Chicken Dum Pukht Biryani
Food Item,Veg Dum Pukht Biryani
Food Item,Chicken Kolkata Biryani
Food Item,Bhatkal Biryani (CHICKEN)
Food Item,Chicken Hyderabadi Biryani
Food Item,Veg Bhatkal Biryani
Food Item,Kolkata Biryani (Veg)
Food Item,Veg Kolkata Biryani
Food Item,Veg Hyderabadi Biryani
Food Item,Hyderabadi Biryani (MUTTON)
Food Item,Kolkata Biryani (MUTTON)
Food Item,Hyderabadi Biryani (VEG)
Food Item,Hyderabadi Biryani (CHICKEN)
Food Item,Bhatkal Biryani (Chicken)
Food Item,SIGNATURE
Food Item,BLENDER'S PRIDE
Food Item,ANTIQUITY BLUE
Food Item,ROYAL CHALLENGE
Food Item,Indian Prawns (100 Gms)
Food Item,Indian Prawns (250 Gms)
Food Item,Indian Prawns (100 GMS)
Food Item,Indian Pompfret (500 GMS)
Food Item,Indian Pompfret (400 GMS)
Food Item,Indian Prawns (REGULAR)
Food Item,CHOCOLATE PASTRY
Food Item,BROWNIE SUNDAE
Food Item,SINGLE TALL CAKE SUNDAE
Food Item,APPLE PIE WITH HOT CUSTARD
Food Item,CREAM CARAMEL
Food Item,BAVARIAN CHOCOLATE CHEESE CAKE (EGG LESS)
Food Item,TIRAMISU
Food Item,Creme Bruleé
Food Item,BLUE BERRY CHEESE CAKE
Food Item,HOT FUDGE NUT SUNDAE
Food Item,CARAMEL CUSTARD(EGG LESS)
Food Item,CHOCOLATE FONDUE CAKE
Food Item,HOT PUDDING WITH BUTTER SCOTCH SAUCE
Food Item,CHOCOLATE MOUSSE
Food Item,COOKIES
Food Item,CAKE HALF KG
Food Item,ASSORTED COOKIES
Food Item,Chicken Kebabs (Chicken Angare)
Food Item,Chicken Kebabs (Chicken Malai)
Food Item,CHICKEN TIKKA (Pahadi)
Food Item,Mutton Kebabs (Gilafi Sheekh)
Food Item,Chicken Kebabs (Murg Lalwari)
Food Item,Chicken Kebabs (Patra Chicken)
Food Item,Chicken Kebabs (Chicken Reshmi)
Food Item,Chicken Kebabs (Murg Alishan)
Food Item,Tandoori Chicken (HALF)
Food Item,Chicken Kebabs (Murg Bemisal)
Food Item,CHICKEN TIKKA (Jamaican)
Food Item,Tandoori Platter (NON-VEG)
Food Item,Tandoori Chicken (Half)
Food Item,Chicken Kebabs (Murg Chatpata)
Food Item,Tandoori Platter (VEG)
Food Item,Chicken Kebabs (Chicken Sheekh)
Food Item,Tandoori Chicken (Full)
Food Item,Tandoori Chicken (FULL)
Food Item,Tandoori Platter (Non-Veg)
Food Item,Mutton Kebabs (Lucknowi Sheekh)
Food Item,Chicken Kebabs (Murg Shikara)
Food Item,Chicken Tikka (Jamaican)
Food Item,Chicken Tikka (Pahadi)
Food Item,Chicken Kebabs (Makhmali)
Food Item,Tandoori Platter (Veg)
Food Item,Mutton Kebabs (Boti E Gulshan)
Food Item,Doodhai Kabab
Food Item,Chicken Kebabs (Murg Nawabi Sheekh)
Food Item,Chicken Kebabs (Murg Rusali)
Food Item,Chicken Kebabs (Murg Grilled)
Food Item,Chicken Kebabs (Murg Dongri)
Food Item,Tandoori Platter (veg)
Food Item,Pompfret (600 GMS)
Food Item,Pompfret (400 GMS)
Food Item,Pompfret (500 GMS)
Food Item,Coastal Surmai (Rawa Fry)
Food Item,Rawas (Rawa Fry)
Food Item,Prawns (100 GMS)
Food Item,Pompfret (800 GMS)
Food Item,Lobster (800 GMS)
Food Item,Lobster (1100 GMS)
Food Item,Rawas (Tawa Fry)
Food Item,Crab (700 GMS)
Food Item,Prawns (150 GMS)
Food Item,Pompfret (700 GMS)
Food Item,Coastal Prawns (150 GMS)
Food Item,Tiger Prawns (300 GMS)
Food Item,Tiger Prawns (100 Gms)
Food Item,Tiger Prawns (200 Gms)
Food Item,Coastal Prawns (250 Gms)
Food Item,Lobster (600 GMS)
Food Item,Prawns (REGULAR)
