Raw_Material,Unit,Purchased_Quantity,ConsumedQuantity,Variance,VariancePercentage
White Compound,Kg,5.0,,,
White Pepper Powder,Kg,11.0,0.8030000000000006,10.197,92.69999999999999
White Phenyle,LTR,41.0,,,
White Pumpkin,Kg,23.0,,,
White Till,Kg,3.0,,,
White Urad Dal,Kg,30.0,,,
White Vinegar,BTL,30.0,0.7957142857142858,29.204285714285714,97.34761904761905
White Yambin,Kg,0.7,,,
Wild Chikmagalur,Kg,3.0,,,
Wiper,NOS,3.0,,,
Wonton Patta,PKT,48.0,,,
Wooden Fork,PKT,10.0,,,
Wooden Spoon,PKT,26.0,,,
Worcestershire Sauce (chinese),BTL,3.0,,,
Yeast,Kg,10.0,,,
Yellow Banana Chips,Kg,136.0,,,
Yellow Banana Chips Standup Pouches,Piece,500.0,,,
Yellow Chilli Powder,Kg,0.5,1.2,-0.7,-140.0
Yellow Tail Chardonnay,BTL,3.0,,,
Yellow Wonton Patta,Kg,1.0,,,
Yellow Zucchini,Kg,22.5,,,
Youki Sauce 1kg,BTL,1.0,,,
