Department,Raw_Material,Unit,IssuedQuantity,ConsumedQuantity,Variance,VariancePercentage
Restaurant Tandoor,Tomatos,Kg,106.0,,,
Restaurant Tandoor,Wafer Potatos,Kg,80.0,,,
Restaurant Tandoor,White Till,Kg,1.0,,,
Restaurant Tandoor,White Vinegar,BTL,4.0,0.7957142857142858,3.204285714285714,80.10714285714286
Rooftop,After Mint T One,PKT,19.0,,,
Rooftop,Air Freshener Can,CAN,1.0,,,
Rooftop,Bisleri 250 Ml,BTL,480.0,,,
Rooftop,Caustic Soda,PKT,1.0,,,
Rooftop,Ceiling Broom,NOS,1.0,,,
Rooftop,Chilli Pickle,Kg,7.5,,,
Rooftop,Clorex,BTL,1.0,,,
Rooftop,Dolly Paper Small,PKT,10.0,,,
Rooftop,Kot Roll,NOS,10.0,,,
Rooftop,Lemon Grass Liquid,BTL,2.0,,,
Rooftop,M Fold Tissue,PKT,100.0,,,
Rooftop,Mango Pickle,Kg,5.0,,,
Rooftop,Mop Refill,NOS,4.0,,,
Rooftop,Paper Straw,PKT,13.0,,,
Rooftop,Reva R2,CAN,1.0,,,
Rooftop,Reva R5,CAN,2.0,,,
Rooftop,Salt Tata,PKT,1.0,29.94699999999923,-28.94699999999923,-2894.699999999923
Rooftop,Scrub Pad,NOS,1.0,,,
Rooftop,Tabasco Sauce,BTL,5.0,,,
Rooftop,Tea Light Candle,PKT,4.0,,,
Rooftop,Tissue Paper Ten One,PKT,100.0,,,
Rooftop,Toilet Roll,PKT,60.0,,,
Rooftop,Tomato Ketchup,BTL,20.0,8.070000000000002,11.929999999999998,59.64999999999999
Rooftop,Tooth Pick 500 Pc,PKT,3.0,,,
Rooftop,Tooth Pick Taj,PKT,1.0,,,
Rooftop,Wonder Wipe,PCS,10.0,,,
Rooftop Continental,Almond,Kg,0.8300000000000001,,,
Rooftop Continental,American Corn,Kg,3.5,41.35999999999998,-37.85999999999998,-1081.714285714285
Rooftop Continental,Amul Cream,PKT,13.0,90.7340000000005,-77.7340000000005,-597.95384615385
Rooftop Continental,Aromatic Powder,PKT,5.0,5.236000000000004,-0.2360000000000042,-4.720000000000084
Rooftop Continental,Avocado Imp,Kg,1.5499999999999998,,,
Rooftop Continental,Baked Beans,TIN,4.0,,,
Rooftop Continental,Baking Powder,PKT,1.0,0.037500000000000006,0.9625,96.25
Rooftop Continental,Basmati Rice,Kg,1.0,112.99999999999999,-111.99999999999999,-11199.999999999998
Rooftop Continental,Bell Papper Yellow,Kg,9.0,13.200000000000003,-4.200000000000003,-46.6666666666667
Rooftop Continental,Bell Pepper Red,Kg,10.0,13.2,-3.1999999999999993,-31.999999999999996
Rooftop Continental,Black Pepper Whole,Kg,0.5,1.8370000000000004,-1.3370000000000004,-267.4000000000001
Rooftop Continental,Bread Crumbs Penko,Kg,5.0,5.100000000000001,-0.10000000000000142,-2.0000000000000284
Rooftop Continental,Broccoli,Kg,16.0,17.329999999999995,-1.3299999999999947,-8.312499999999968
