Item_Name_k,Preparation_Time_Taken_Mins_k
Caprioska (BELVEDERE),78.459090909090918
Chinese Crab (600 GMS),78.55
DIPLOMATIC RESERVO,78.634444444444455
ROASTED MASALA PAPAD,78.661668478260921
Grover Sauvignon Blanc,78.8425
Chinese Pompfret (500 GMS),78.935
Bottled Water,78.960495395734213
Chinese Prawns,78.965
CAKE - N.C,78.974444444444458
KETEL ONE,79.025970149253723
White Lady (HENDRICKS),79.11166666666665
Mushroom Babycorn In Red Chilli Flakes,79.186875
JACK DANIEL'S,79.243282442748082
Doodhai Kabab,79.298823529411791
Coastal Prawns (100 GMS),79.338
Lemon Fizz,79.344331395348874
FRESH LIME WATER,79.362661870503558
CIROC,79.502857142857138
BLENDER'S PRIDE,79.559116945107291
Mist Fantsy,79.573207547169773
Crab (800 GMS),79.592142857142861
Sour & Pepper Soup (SEA FOOD),79.65
Green Pepper Crab Soup,79.663488372093028
Crab (500 GMS),79.684225352112676
Water Chesnut In Sambal Sauce,79.736944444444447
Garlic Bread,79.737795275590585
Sea Food Dum Biryani,79.748404255319173
Shirely Temple,79.794859154929554
Chilly Crispy Patato,79.96274900398393
Caprioska (REGULAR),79.993906250000023
Mustard Soup (VEG),80.177792207792209
Caprioska (KETEL ONE),80.194285714285726
JOSE COERO (GOLD),80.237857142857138
Edemunchi Chicken,80.263333333333321
2000,80.344285714285718
Crispy Spinach Chicken,80.365560747663523
Coastal Rawas (Rawa Fry),80.416666666666657
Tandoori Pompfret (600 GMS),80.55
Perrier Sparkling,80.555364583333329
Peach Iced Tea,80.609668737060147
Indri Single Malt,80.661458333333343
Chicken Pepper Chilly Garlic,80.860887728459574
Veg Sweet Corn Soup,80.890043415340088
VSOP,80.931818181818173
Dim Sum (CHICKEN),81.001368421052618
Chicken Kebabs (Murg Chatpata),81.068471074380156
Mateus Rose,81.08125
KUNG PAO TOFU,81.101612903225842
KINGFISHER,81.152682435833
CHICKEN GRILLED SANDWICH,81.174545454545466
Coastal Rawas (Mallipuram),81.199999999999989
Funci Tongi Soup (VEG),81.218055555555537
SMIRNOFF,81.288009478673047
AMRUT - AMALGAM,81.308508771929837
JAMESON,81.324153005464439
RED LABEL,81.528055555555568
GORDON'S,81.553421052631563
BALLANTINES,81.599763513513452
Prawns Tom Yum Soup,81.643428571428572
J W Blonde,81.73454545454544
Chinese Squid,81.75
Planters Punch,81.752352941176468
Saladde Annabella,81.886666666666684
Prawns (150 GMS),81.890952380952385
TEACHER'S,81.967269938650361
TALISKER -10 YEARS,81.994400000000013
Caprioska (CIROC),82.294666666666657
Subzi Ka Mela,82.381034482758608
Pepper Blast Paneer,82.392477558348276
ROYAL CHALLENGE,82.404153846153875
Pompfret (500 GMS),82.421461267605579
THIN BLUE LINE,82.45
HOUSEWINE-INDIAN RED,82.459602888086621
Whisky Sour (GLENFIDDICH - 12 YEARS),82.460000000000008
Whisky Sour (JAMESON),82.627272727272725
HEINEKEN,82.628903654485057
Fresh Spinach & Lettuce Salad,82.62965517241382
BLACK DOG,82.678323699421966
Chicken Kebabs (Murg Rusali),82.688292682926814
DOUBLE BLACK,82.721022727272739
BUDWEISER,82.766929460580926
Subzi Papdi Sheek,82.799999999999983
Old Fashioned (REGULAR),82.832957746478868
Tom Kha Soup (CHICKEN),82.838653846153818
Chicken & Mushroom Cheesey Roll,82.955918367346925
BLACK & WHITE,83.040531496063025
JIM BEAM,83.199999999999974
Tom Yum Soup (SEA FOOD),83.262727272727275
Nam Prick (PANEER),83.29
Coastal Surmai (Masala Fry),83.339
CHIVAS REGAL -18 YEARS,83.56
