Type,No_of_Bills,Timestamp,Invoice_No_,Staff,Name,Phone,Covers
Details,,2024-10-11 21:52:22+00:00,11275,SK,,,2.0
Details,,2024-10-16 20:57:02+00:00,11660,SK,,,3.0
Details,,2024-10-06 20:58:23+00:00,11022,SK,,,4.0
Details,,2024-10-13 15:40:01+00:00,11442,SK,,,6.0
Details,,2024-10-17 23:44:57+00:00,11721,SK,,,8.0
Details,,2024-10-12 23:03:50+00:00,11392,SK,,,3.0
Details,,2024-10-13 00:12:27+00:00,11406,SK,,,5.0
Details,,2024-10-06 21:30:04+00:00,11028,SK,,,2.0
Details,,2024-10-13 20:36:20+00:00,11475,SK,,,8.0
Details,,2024-10-01 23:25:49+00:00,10714,SK,,,2.0
Details,,2024-10-03 23:48:42+00:00,10847,SK,,,12.0
Details,,2024-10-02 00:38:02+00:00,10720,SK,,,2.0
Details,,2024-10-11 00:30:47+00:00,11230,SK,,,2.0
Details,,2024-10-10 20:32:56+00:00,11205,SK,,,2.0
Details,,2024-10-06 00:03:21+00:00,10967,SK,,,4.0
Details,,2024-10-02 23:58:34+00:00,10797,SK,,,5.0
Details,,2024-10-06 23:45:45+00:00,11052,SK,,,4.0
Details,,2024-10-12 22:08:52+00:00,11378,SK,,,2.0
Details,,2024-10-03 21:10:51+00:00,10820,SK,,,5.0
Details,,2024-10-06 00:51:33+00:00,10968,SK,,,2.0
Details,,2024-10-03 22:59:33+00:00,10840,SK,,,4.0
Details,,2024-10-18 00:14:17+00:00,11727,SK,,,2.0
Details,,2024-10-13 15:33:31+00:00,11439,SK,,,6.0
Details,,2024-10-05 21:03:19+00:00,10932,SK,,,3.0
Details,,2024-10-06 23:39:23+00:00,11050,SK,,,2.0
Details,,2024-10-11 22:07:29+00:00,11277,SK,,,2.0
Details,,2024-10-13 00:58:28+00:00,11412,SK,,,3.0
Details,,2024-10-12 22:57:36+00:00,11390,SK,,,3.0
Details,,2024-10-18 00:02:49+00:00,11723,SK,,,1.0
Details,,2024-10-08 21:43:12+00:00,11131,SK,,,2.0
Details,,2024-10-05 20:15:58+00:00,10923,SK,,,2.0
Details,,2024-10-05 23:06:55+00:00,10957,SK,,,2.0
Details,,2024-10-11 23:56:46+00:00,11302,SK,,,2.0
Details,,2024-10-10 20:27:49+00:00,11204,SK,,,2.0
Details,,2024-10-13 00:27:49+00:00,11409,SK,,,2.0
Details,,2024-10-17 21:56:10+00:00,11707,SK,,,3.0
Details,,2024-10-12 21:34:46+00:00,11375,SK,,,10.0
Details,,2024-10-10 22:41:24+00:00,11218,SK,,,8.0
Details,,2024-10-10 20:07:14+00:00,11201,SK,,,2.0
Details,,2024-10-05 22:59:32+00:00,10953,SK,,,2.0
Details,,2024-10-06 21:48:30+00:00,11031,SK,,,18.0
Details,,2024-10-16 22:11:06+00:00,11667,SK,,,2.0
Details,,2024-10-06 22:57:52+00:00,11047,SK,,,4.0
Details,,2024-10-05 21:06:09+00:00,10933,SK,,,2.0
Details,,2024-10-06 00:55:43+00:00,10969,SK,,,2.0
Details,,2024-10-09 23:38:32+00:00,11183,SK,,,16.0
Details,,2024-10-08 23:41:44+00:00,11141,SK,,,4.0
Details,,2024-10-12 23:56:44+00:00,11403,SK,,,2.0
Details,,2024-10-16 23:27:56+00:00,11678,SK,,,3.0
Details,,2024-10-15 20:58:32+00:00,11581,SK,,,2.0
Details,,2024-10-05 22:03:07+00:00,10944,SK,,,5.0
Details,,2024-10-16 22:04:18+00:00,11665,SK,,,4.0
Details,,2024-10-12 23:35:18+00:00,11401,SK,,,3.0
Details,,2024-10-16 22:17:35+00:00,11669,SK,,,1.0
Details,,2024-10-05 20:30:00+00:00,10926,SK,,,3.0
Details,,2024-10-11 21:37:31+00:00,11272,SK,,,2.0
Details,,2024-10-08 20:23:05+00:00,11123,SK,,,3.0
Details,,2024-10-12 22:05:17+00:00,11377,SK,,,2.0
Details,,2024-10-13 20:50:51+00:00,11477,SK,,,4.0
Details,,2024-10-05 20:00:13+00:00,10921,SK,,,2.0
Details,,2024-10-16 23:02:19+00:00,11674,SK,,,10.0
Details,,2024-10-06 22:47:02+00:00,11046,SK,,,3.0
Details,,2024-10-02 22:40:11+00:00,10789,SK,,,10.0
Details,,2024-10-10 23:13:09+00:00,11224,SK,,,8.0
Details,,2024-10-05 23:20:55+00:00,10959,SK,,,6.0
Details,,2024-10-16 20:28:14+00:00,11653,SK,,,3.0
Details,,2024-10-02 21:40:11+00:00,10779,SK,,,4.0
Details,,2024-10-10 21:28:18+00:00,11209,SK,,,2.0
Details,,2024-10-11 22:17:28+00:00,11279,SK,,,8.0
Details,,2024-10-01 22:56:13+00:00,10711,SK,,,4.0
Details,,2024-10-11 20:53:23+00:00,11258,SK,,,2.0
Details,,2024-10-13 00:59:16+00:00,11413,SK,,,2.0
Details,,2024-10-12 22:09:12+00:00,11379,SK,,,2.0
Details,,2024-10-09 01:09:44+00:00,11144,SK,,,4.0
Details,,2024-10-12 00:50:18+00:00,11307,SK,,,3.0
Details,,2024-10-16 22:46:41+00:00,11671,SK,,,3.0
Details,,2024-10-02 21:34:30+00:00,10778,SK,,,4.0
Details,,2024-10-17 21:04:39+00:00,11696,SK,,,2.0
